State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.26527	2.26075	2.22917	2.19307	2.21563	2.20660	2.22014	2.26075	2.29234	2.28557	2.33295	2.28783	2.22240	2.22240	2.22014	2.25850	2.23594	2.21112	2.17953	2.17502	2.13666
2	0.56159	0.56170	0.56222	0.56369	0.56474	0.56531	0.56510	0.56589	0.56741	0.56888	0.57019	0.57134	0.57171	0.57213	0.57223	0.57297	0.57344	0.57344	0.57354	0.57375	0.57370
3	0.84597	0.77918	0.73465	0.66787	0.70126	0.75692	0.83483	0.85710	0.79031	0.74579	0.64561	0.61221	0.56769	0.67900	0.64561	0.63447	0.67900	0.67900	0.71239	0.55656	0.58995
4	1.93061	1.94654	1.97043	1.97227	1.97778	1.96308	1.93551	1.89875	1.88343	1.87424	1.86015	1.83809	1.81603	1.80991	1.81113	1.79643	1.80807	1.79398	1.79581	1.75721	1.76089
5	1.40993	1.40673	1.39808	1.39327	1.38847	1.39648	1.41537	1.43283	1.44468	1.46070	1.48199	1.49849	1.51226	1.51306	1.51643	1.52363	1.52652	1.53244	1.53356	1.54349	1.54974
6	2.86503	2.82542	2.84192	2.94094	2.99046	2.94424	2.84522	2.77261	2.70989	2.84192	2.80892	2.63398	2.60757	2.52835	2.55806	2.45904	2.40293	2.47224	2.47884	2.54816	2.50195
7	3.71567	3.99023	3.97193	3.96583	4.08175	4.20378	4.35631	4.30750	4.24038	3.99633	3.59975	3.88651	3.96583	4.11836	4.11226	3.94752	4.01464	3.95972	3.89871	3.96583	3.91091
8	4.21574	4.16701	4.22271	4.34977	4.32192	4.31844	4.22793	4.25578	4.25752	4.19312	4.12871	3.97728	3.87284	3.80322	3.81192	3.82933	3.73011	3.70923	3.71967	3.69008	3.63786
9	5.18612	5.13612	4.91467	4.76466	4.60750	4.35034	4.08603	3.87173	3.76458	3.37169	3.13596	3.44313	3.70743	3.70029	3.55742	3.69315	3.75029	3.85030	3.87888	3.77172	3.91459
10	4.09553	4.11658	4.32715	3.69545	3.61122	3.54805	3.67439	3.25326	2.81107	2.66367	2.64262	2.47416	2.41099	2.69526	2.54786	2.30571	2.46363	2.28465	2.25307	2.38993	2.42152
