State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.98225	5.14489	5.21276	5.26190	5.20691	4.97406	4.62186	4.05554	3.59452	3.45996	3.38975	3.14170	3.15223	3.35699	3.63781	3.93970	4.21818	4.40539	4.50017	4.55868	4.58676
2	0.62036	0.60364	0.58277	0.55859	0.52492	0.48891	0.44502	0.39569	0.35366	0.33198	0.32237	0.31971	0.32487	0.33553	0.34809	0.36500	0.38620	0.40590	0.42306	0.43953	0.45342
3	0.55481	0.51238	0.49647	0.48056	0.48268	0.46570	0.42433	0.37659	0.37553	0.39039	0.38614	0.37766	0.36917	0.37447	0.40418	0.43176	0.45191	0.48586	0.51344	0.52405	0.52829
4	0.93015	0.83778	0.78362	0.68806	0.64665	0.68169	0.66895	0.67850	0.73584	0.78044	0.82503	0.84733	0.85370	0.85370	0.88237	0.90786	0.90467	0.90786	0.97475	1.09580	1.28374
5	1.38967	1.30346	1.20185	1.09126	0.97118	0.83006	0.68278	0.55448	0.46314	0.42337	0.40310	0.40925	0.43363	0.46493	0.51292	0.59117	0.71254	0.88958	1.07817	1.26677	1.44304
6	2.73823	2.88405	2.94257	2.92028	2.82089	2.56732	2.32861	1.90598	1.44342	1.17127	1.01151	0.85453	0.84525	0.93534	1.18427	1.62640	2.40849	3.13577	3.66893	3.98659	4.07390
7	3.58403	3.53209	3.86452	3.93724	4.30083	4.31122	4.18656	4.12423	3.73986	3.00227	2.46207	2.35819	1.93226	1.71410	1.57905	1.73488	1.85954	2.02576	2.43091	2.64906	2.81528
8	4.15108	4.78172	5.23675	5.78756	6.08293	6.66568	7.19254	7.18456	7.76731	12.27762	15.43882	7.28036	5.65984	4.84559	4.31074	3.95949	3.73597	3.57631	3.78387	3.73597	3.56833
9	5.41447	6.24431	7.27393	9.26146	12.14542	16.62760	23.38928	33.04518	44.46833	48.29483	49.63692	61.61330	55.19482	44.44784	34.44362	26.35521	19.94697	15.45455	11.96613	9.35879	7.74520
10	5.91751	6.83010	8.52808	10.41367	13.05922	16.14357	18.96719	21.59048	21.60956	21.07218	20.85914	18.05460	22.12786	27.08190	30.22985	30.59870	27.96269	23.91488	19.95291	16.49017	13.65383
