State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.75309	3.81666	3.85843	3.85207	3.76580	3.60326	3.30904	2.91947	2.52991	2.35737	2.20663	2.05589	2.10856	2.31923	2.54989	2.81868	3.04660	3.22640	3.34355	3.37896	3.40439
2	0.58702	0.56951	0.54844	0.52457	0.49303	0.45521	0.41089	0.36687	0.33290	0.31498	0.30572	0.30145	0.30605	0.31707	0.32716	0.34124	0.35602	0.37219	0.38601	0.39958	0.41001
3	0.58608	0.59196	0.59548	0.56964	0.56259	0.55085	0.52383	0.49682	0.48390	0.49447	0.49917	0.51796	0.50974	0.50034	0.50269	0.51561	0.54145	0.56377	0.58373	0.58373	0.59665
4	0.75412	0.67107	0.60257	0.55589	0.52315	0.48921	0.46678	0.46253	0.46375	0.48921	0.52376	0.55043	0.57711	0.58559	0.59166	0.60499	0.63106	0.69168	0.80019	0.93598	1.11542
5	1.25061	1.13932	1.00983	0.88034	0.75055	0.61621	0.51826	0.45427	0.41273	0.37997	0.36117	0.35056	0.35905	0.38756	0.41758	0.46579	0.57830	0.76419	0.99679	1.22453	1.42164
6	2.44558	2.58682	2.63610	2.61639	2.56547	2.40780	2.19428	1.83952	1.46997	1.15463	0.94932	0.82778	0.85570	0.82778	1.01009	1.36650	2.03825	2.58847	3.08448	3.43267	3.53122
7	4.89721	5.11089	5.26788	5.07164	4.80563	4.64864	4.12970	3.53227	2.91739	2.42462	2.07575	2.01470	1.87516	1.88388	2.21530	3.41889	5.07164	6.88139	7.88874	8.30302	8.06317
8	7.09866	7.49472	7.88844	8.01499	7.79704	7.22756	6.09327	4.45043	2.99273	2.79822	2.39747	1.56316	1.55613	1.85610	2.33888	3.08413	4.27466	5.03632	5.53082	5.55894	5.56128
9	5.56705	6.71088	8.26236	10.68387	14.14883	18.69373	24.63496	31.34280	37.35704	40.06756	42.35826	45.12353	44.85583	43.24047	39.72684	34.07461	27.45803	21.24606	15.97713	12.45742	9.90205
10	5.05157	5.81848	6.96657	8.39019	10.14446	12.31204	14.81486	17.43249	19.25565	20.04553	20.09605	19.07655	18.49332	17.68048	18.39688	19.42097	18.68161	17.07888	15.08581	12.78965	10.95271
