State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.96054	0.96609	0.95397	0.94438	0.94185	0.93074	0.92822	0.93226	0.94337	0.96205	0.98680	0.98225	0.98074	0.99185	0.99033	1.00548	1.01609	1.02619	1.03377	1.04841	1.05649
2	0.56617	0.56486	0.56542	0.56599	0.56650	0.56791	0.56772	0.56917	0.57208	0.57592	0.57892	0.58351	0.58787	0.59237	0.59720	0.60034	0.60404	0.60947	0.61528	0.61936	0.62484
3	1.24595	1.27218	1.32792	1.35415	1.39022	1.42629	1.47547	1.49842	1.47219	1.42957	1.40662	1.38694	1.40006	1.45252	1.44596	1.47219	1.47219	1.44924	1.43612	1.41645	1.45252
4	5.53082	5.55666	5.58485	5.60834	5.62361	5.59542	5.49089	5.33350	5.12796	4.76269	4.44674	4.34691	4.17777	4.00747	3.77374	3.53883	3.35443	3.19940	3.04671	2.90224	2.82707
5	2.25909	2.26179	2.25605	2.25605	2.23885	2.24964	2.27123	2.30631	2.35455	2.44968	2.53671	2.50534	2.51073	2.50432	2.51613	2.54177	2.54885	2.55155	2.54885	2.54818	2.53266
6	1.65284	1.61524	1.61524	1.62598	1.67612	1.67433	1.67612	1.68149	1.63493	1.56510	1.48272	1.55077	1.52928	1.54361	1.62598	1.63672	1.72089	1.74954	1.74775	1.76745	1.72984
7	3.36016	3.41509	3.42425	3.52496	3.60736	3.68977	3.77217	3.78132	3.68061	3.48834	3.06718	3.45172	3.74470	3.72639	3.57074	3.53412	3.24113	3.14958	2.95731	3.02140	2.90237
8	2.67193	2.66019	2.53500	2.47632	2.42938	2.28463	2.37852	2.33158	2.38635	2.42156	2.56239	2.55457	2.47632	2.56239	2.64063	2.73061	2.76973	2.75017	2.82450	2.86753	2.86753
9	3.44025	3.47177	3.41774	3.33669	3.21961	3.23312	3.16557	3.14756	3.14306	3.06651	2.97195	3.02148	3.17008	3.19709	3.16107	3.09353	3.17458	3.18809	3.16107	3.11154	3.12505
10	1.44942	1.39258	1.56879	1.54037	1.66542	1.65973	1.65973	1.63700	1.52331	1.47216	1.36985	1.40395	1.40963	1.38690	1.52900	1.58016	1.54037	1.48921	1.55742	1.54037	1.52331
