State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.69111	2.66566	2.65588	2.64218	2.65588	2.65783	2.67349	2.61282	2.64805	2.65588	2.67153	2.65979	2.66762	2.60890	2.61673	2.58346	2.58738	2.58150	2.57368	2.58150	2.61478
2	0.54642	0.54774	0.54829	0.54906	0.55086	0.55406	0.55576	0.55948	0.56400	0.57015	0.57719	0.58116	0.58675	0.59230	0.59730	0.60408	0.60968	0.61476	0.61915	0.62427	0.63012
3	2.44788	2.48009	2.49389	2.48009	2.48009	2.47549	2.45248	2.38346	2.33745	2.28223	2.20861	2.16260	2.16260	2.14880	2.12579	2.09818	2.09818	2.08438	2.12119	2.13499	2.07978
4	7.25772	7.35011	7.40516	7.34618	7.33242	7.26165	7.11815	6.94909	6.63850	6.21781	5.74406	5.54355	5.29979	4.98919	4.69236	4.50167	4.26578	4.02202	3.75860	3.67014	3.60331
5	2.48662	2.46381	2.44451	2.44486	2.43994	2.43292	2.44451	2.46030	2.48943	2.55471	2.61402	2.59472	2.58138	2.59998	2.59998	2.58279	2.57050	2.58665	2.59261	2.56348	2.53576
6	2.42799	2.42799	2.46986	2.37916	2.33032	2.51869	2.49776	2.56056	2.63033	2.58846	2.57451	2.46986	2.51172	2.36520	2.51869	2.46986	2.49776	2.35822	2.50474	2.58149	2.59544
7	3.19101	3.28978	3.30498	3.51011	3.79123	3.93558	4.01915	4.26228	4.31546	4.06474	3.57849	4.06474	4.19390	4.02675	3.83681	3.77603	3.74564	3.57089	3.33537	3.13783	3.11504
8	1.24175	1.23160	1.29588	1.33648	1.33310	1.31957	1.38385	1.42107	1.44137	1.52427	1.59701	1.61055	1.62577	1.68668	1.72220	1.76450	1.79326	1.77803	1.77634	1.79157	1.76788
9	4.81455	4.79182	4.58723	4.36446	4.23717	4.23717	4.07805	3.77344	3.70070	3.60523	3.49157	3.57340	3.73707	3.80981	3.85982	3.71889	3.67342	3.79617	3.74616	3.76890	3.74616
10	4.40401	4.34865	4.44092	4.63774	4.46552	4.11492	4.02881	4.05341	3.73357	3.13693	2.90935	2.94011	2.68792	2.68177	2.71868	2.90935	3.00162	2.94011	3.13693	3.14924	3.09388
