State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.04151	2.03754	2.02163	2.01368	1.98981	1.98584	1.98186	1.96860	1.98319	1.98053	2.00174	2.00042	1.99512	2.00307	2.01633	1.99644	1.99247	2.01102	1.99247	2.00572	1.99909
2	0.57403	0.57403	0.57508	0.57605	0.57797	0.57856	0.58094	0.58378	0.58643	0.59160	0.59672	0.60038	0.60550	0.61035	0.61433	0.61858	0.62201	0.62704	0.63285	0.63738	0.64342
3	0.88097	0.88337	0.88818	0.89780	0.89539	0.90140	0.90621	0.92063	0.91823	0.91102	0.90501	0.90020	0.89659	0.89900	0.92063	0.91342	0.92544	0.92424	0.92905	0.93505	0.91462
4	6.54308	6.44925	6.32654	6.33376	6.33737	6.44925	6.39511	6.10639	5.83933	5.37016	4.94069	4.76385	4.58701	4.30190	4.09980	3.76777	3.64507	3.37079	3.26613	3.17229	3.19395
5	2.48723	2.48548	2.49479	2.49508	2.49275	2.47502	2.47182	2.47589	2.47124	2.49130	2.51514	2.49450	2.47880	2.47909	2.46165	2.46136	2.44391	2.43432	2.41455	2.39072	2.35234
6	1.35225	1.37645	1.39434	1.42381	1.44486	1.47327	1.48274	1.50063	1.54377	1.56377	1.53430	1.55851	1.58903	1.57850	1.57745	1.59744	1.60691	1.62586	1.58903	1.57640	1.58482
7	2.29509	2.53048	2.62464	2.61287	2.53048	2.80118	2.81295	3.28374	3.69568	3.35436	3.14250	3.34259	3.42497	3.36613	3.27197	3.20135	3.21312	2.83649	2.68349	2.81295	2.77764
8	2.17061	2.39671	2.34245	2.16156	2.33340	2.49620	2.41480	2.52333	2.48715	2.63186	2.68612	2.95745	2.85796	2.88510	2.77657	2.74039	2.72230	2.65899	2.83988	2.76752	2.81274
9	4.61962	4.55578	4.49774	4.39328	4.20176	4.03346	3.88837	3.73168	3.73168	3.72587	3.66203	3.58078	3.69105	3.63302	3.61561	3.54016	3.55757	3.80132	3.52855	3.52275	3.55757
10	3.79704	3.71058	3.63132	3.57729	3.52685	3.44039	3.42958	3.28548	3.10896	2.93244	2.80635	2.76672	2.60101	2.55057	2.64064	2.73070	2.73430	2.60821	2.80635	2.82076	2.82076
