State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.62412	4.60055	4.56756	4.29888	4.08676	3.88407	3.72852	3.49284	3.24301	2.96962	2.79050	2.92248	3.08746	3.04504	3.13931	3.17702	3.21002	3.28544	3.35143	3.35614	3.30901
2	1.43631	1.40667	1.41038	1.42026	1.40173	1.36839	1.37086	1.37209	1.41161	1.56475	1.71295	1.57216	1.57216	1.67343	1.71295	1.79323	1.80558	1.86239	1.93155	1.95625	1.92661
3	1.74719	1.65282	1.69286	1.69000	1.75005	1.83583	1.88731	2.01599	2.02456	1.97881	1.79294	2.14181	2.26191	2.27049	2.37915	2.35341	2.43920	2.35627	2.27620	2.36485	2.36199
4	2.03286	2.07562	1.99294	2.06422	2.03856	2.06707	2.06707	2.01005	1.94732	1.73919	1.55387	1.57667	1.53676	1.50255	1.56527	1.64510	1.67932	1.71923	1.79621	1.88460	1.87319
5	1.08359	1.08068	1.07623	1.07255	1.07119	1.07952	1.09075	1.10993	1.13046	1.16667	1.20579	1.22226	1.24550	1.27338	1.29604	1.32025	1.35879	1.39598	1.42154	1.45137	1.47713
6	5.52172	5.82312	6.17878	6.51032	6.79967	6.99860	7.07093	7.37234	7.02874	6.03410	5.03344	5.80504	5.82915	5.81107	5.43130	5.14798	4.87069	4.68984	4.37036	4.09909	4.01470
7	3.02495	3.00364	2.99272	2.98493	2.93086	2.91839	2.88252	2.85757	2.90747	3.05407	3.21782	3.01976	2.90435	2.85237	2.81390	2.75568	2.72553	2.68706	2.63091	2.53630	2.50147
8	6.67641	6.74704	6.72056	6.69937	6.84946	6.77529	6.73468	6.56517	6.27205	5.70347	5.08721	5.21788	5.18786	4.92476	4.68285	4.49744	4.19726	3.88825	3.72050	3.63574	3.48388
9	1.11064	1.09600	1.12979	1.14668	1.17147	1.20075	1.28974	1.31227	1.27284	1.19174	1.06220	1.07009	1.08924	1.08135	1.09938	1.10726	1.08586	1.11965	1.13542	1.12641	1.14331
10	0.44713	0.44854	0.44794	0.44800	0.44822	0.44789	0.44549	0.44544	0.45067	0.45684	0.46562	0.46796	0.46987	0.47265	0.47424	0.47642	0.47833	0.47887	0.48111	0.48362	0.48678
