State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	7.91789	7.25223	5.71069	4.65964	3.29328	2.24223	1.82182	1.64664	1.43643	1.19119	1.26126	1.33133	1.36636	1.29629	1.12112	1.29629	1.75175	2.59258	3.57356	4.27426	5.04503
2	0.66075	0.64956	0.63519	0.61462	0.58740	0.55303	0.51905	0.49561	0.47958	0.46984	0.46620	0.46790	0.47275	0.48315	0.50000	0.52666	0.56004	0.58807	0.61147	0.62899	0.64107
4	0.87482	0.84748	0.84748	0.87482	1.00604	1.15913	1.37784	1.62935	1.95193	2.19798	2.31280	2.43855	2.29092	2.04488	1.80978	1.39424	1.21927	1.18647	1.09352	1.00057	1.00057
5	2.78416	2.65941	2.48965	2.26390	1.96904	1.63094	1.29285	1.02138	0.84347	0.75026	0.71234	0.71943	0.75912	0.86402	1.03343	1.27973	1.57920	1.87654	2.12214	2.33903	2.50276
6	5.36460	6.06266	6.98057	8.54158	9.84975	11.60864	12.22425	8.95382	6.48039	5.03481	3.15500	2.29205	3.14401	6.95309	10.91608	11.94942	10.57529	8.93733	7.33235	5.98570	5.15023
7	1.76665	1.86981	2.06969	2.71445	3.50751	4.61005	6.55724	10.07120	13.76569	15.57102	16.98306	18.26613	16.89279	12.83078	9.12340	6.47987	4.74546	3.63002	2.64353	2.33404	2.05679
8	3.18353	3.48028	3.64883	3.78415	4.01205	4.28269	4.44175	5.05186	5.51954	5.99909	6.30058	5.35099	5.20142	4.78835	4.29693	4.40376	4.59131	4.68627	4.91180	4.89993	4.76936
9	4.84105	5.40351	6.30081	7.40821	9.04087	11.36510	14.53411	17.99200	21.15226	22.61858	23.34736	24.26217	23.58810	21.47178	18.32466	15.17754	12.49220	10.38901	8.63599	7.38195	6.49778
10	9.95826	11.85886	14.70408	18.07282	22.77312	25.73214	25.24277	20.69042	10.88011	6.45295	4.74582	3.00455	5.34901	11.43777	18.18663	20.89527	19.73442	16.80954	14.37404	11.65401	9.70788
