State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.65175	3.57236	3.85021	3.57236	3.37390	3.41359	3.17543	3.25482	3.13574	2.97697	3.29451	2.89758	2.93728	2.81820	2.81820	2.61973	2.85789	3.01666	3.17543	3.05635	3.17543
2	0.78914	0.79043	0.79135	0.79231	0.79267	0.79343	0.79432	0.79460	0.79476	0.79484	0.79580	0.79576	0.79624	0.79704	0.79772	0.79792	0.79849	0.79889	0.80029	0.80081	0.80113
4	1.94508	1.95128	1.95747	2.02561	2.03800	2.01322	2.09995	2.24242	2.23623	2.19287	2.11853	2.27959	2.24242	2.10614	2.20525	2.15570	2.13711	2.11234	2.11853	2.10614	2.06278
5	2.22521	2.21758	2.22119	2.21959	2.21276	2.21758	2.20272	2.18787	2.18626	2.19429	2.18827	2.17703	2.17783	2.18787	2.18184	2.18305	2.17381	2.17341	2.17020	2.17823	2.18425
6	2.55319	2.60924	2.49714	2.52828	2.64037	2.46601	2.44733	2.36637	2.51583	2.56564	2.63415	2.52205	2.33524	2.27919	2.34146	2.47224	2.37260	2.44733	2.35392	2.40996	2.34769
7	2.44713	2.41060	2.24259	2.03806	2.03806	2.05267	2.18415	2.25720	2.12571	2.09650	2.21337	2.35217	2.57862	2.50557	2.38139	2.54940	2.49826	2.59323	2.46174	2.43982	2.46904
8	2.27004	2.29156	2.31846	2.36149	2.39646	2.29425	2.31846	2.40453	2.39108	2.38032	2.39915	2.37763	2.31577	2.24853	2.25929	2.31308	2.34804	2.31577	2.38032	2.29425	2.25391
9	3.16138	3.14650	3.12915	3.12419	3.12419	3.21841	3.18370	3.11179	3.10683	3.06468	2.99030	3.05476	3.05228	3.09939	3.06468	3.02749	2.98038	2.93079	2.91343	2.90847	2.90847
10	3.52006	3.28797	3.26218	3.06877	2.81089	2.78510	2.74642	2.81089	2.87536	2.95272	2.83668	2.75931	2.93983	3.00430	2.99141	2.42407	2.87536	2.84957	2.64327	2.64327	2.66906
