State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.00166	1.96562	1.91063	1.82959	1.71830	1.56071	1.39574	1.20920	1.05529	0.92900	0.85244	0.82771	0.87007	0.93348	1.04082	1.16790	1.31655	1.43021	1.52387	1.58754	1.62701
2	0.56048	0.55202	0.54115	0.52880	0.51064	0.49006	0.45821	0.41955	0.38005	0.34054	0.31312	0.30668	0.31513	0.33379	0.35665	0.37531	0.39029	0.40304	0.41186	0.42000	0.42532
3	0.91154	0.89789	0.89447	0.87570	0.87058	0.83814	0.86716	0.86545	0.90984	0.96275	1.01738	1.02591	0.98495	0.93374	0.91325	0.89277	0.86545	0.87058	0.86375	0.87228	0.90642
4	1.14068	1.03499	0.91125	0.85454	0.79912	0.72178	0.68569	0.70889	0.72823	0.75916	0.82618	0.86098	0.87258	0.88032	0.88161	0.95121	1.01307	1.11619	1.26570	1.55183	1.80704
5	1.46668	1.41804	1.34817	1.25372	1.14339	1.01157	0.85825	0.69622	0.58258	0.50348	0.45613	0.45715	0.49862	0.62814	0.87975	1.17334	1.43571	1.67247	1.85498	1.97579	2.07664
6	3.60782	3.83014	4.22017	4.55560	4.59850	4.46199	4.38789	4.43079	4.76622	5.40588	5.89342	5.85051	5.89342	6.33806	7.29364	8.07761	9.00589	9.11510	8.74457	8.13612	7.41065
7	3.93120	4.18419	4.41773	4.63181	4.72911	5.26430	5.40053	5.41999	5.50757	5.18645	5.52703	7.09367	7.46343	8.14458	9.08846	9.38038	9.02034	8.58246	8.83546	7.90131	7.53155
8	5.61481	6.14967	6.84426	7.56305	8.64487	9.77025	11.15218	12.49779	13.60381	14.84052	14.87199	13.88698	13.74903	13.66674	12.59218	11.11103	9.67829	8.24554	7.18309	6.46671	5.72856
9	5.05396	5.89540	7.19726	8.99657	11.79610	15.77576	21.72937	29.68870	37.66390	42.74961	47.38549	50.09505	47.23731	39.10864	29.26533	20.57570	14.28339	10.55775	7.89582	6.23939	5.12276
10	3.43406	4.13860	4.95647	6.25225	7.77466	9.82426	11.09540	11.66692	10.74066	10.80964	10.59285	10.33173	10.58300	11.79502	12.14483	11.81965	9.96221	7.93232	6.12415	4.83330	4.13860
