State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.10593	2.09564	2.10079	2.08534	2.11623	2.09821	2.08534	2.06989	2.06217	2.04157	2.04157	2.04930	2.05187	2.03642	2.01840	1.98493	1.99781	2.03642	2.03385	2.02870	2.01325
2	0.49798	0.49823	0.49857	0.49823	0.49823	0.49857	0.49916	0.50092	0.50405	0.50914	0.51448	0.51810	0.52178	0.52545	0.52937	0.53402	0.53828	0.54307	0.54768	0.55434	0.56099
3	0.78441	0.79463	0.78100	0.79037	0.78526	0.79803	0.80740	0.80655	0.80400	0.77589	0.75801	0.75034	0.75715	0.76823	0.78696	0.80229	0.81762	0.83381	0.85850	0.85425	0.88320
4	4.29874	4.32788	4.36002	4.36957	4.39167	4.38715	4.36605	4.32536	4.26057	4.15759	4.01946	3.90795	3.73314	3.56939	3.42573	3.27102	3.10526	2.96512	2.85160	2.73607	2.63159
5	1.47231	1.47126	1.45200	1.44920	1.44745	1.44815	1.44815	1.46146	1.48912	1.54934	1.62637	1.68274	1.77063	1.85921	1.92363	1.99121	2.05739	2.11411	2.14912	2.16943	2.19569
6	1.42035	1.39822	1.40683	1.36747	1.37239	1.38715	1.40191	1.41052	1.40929	1.45848	1.45602	1.39945	1.38838	1.40683	1.42650	1.42773	1.48184	1.48307	1.46954	1.54333	1.51381
7	2.41971	2.40338	2.42584	2.55040	2.55652	2.68517	2.77910	2.85465	2.83015	2.73826	2.72192	2.73417	2.77093	2.66271	2.56061	2.55652	2.51160	2.47485	2.49935	2.40950	2.38704
8	1.55005	1.48532	1.56027	1.51939	1.45466	1.47169	1.46829	1.43081	1.53983	1.55005	1.61818	1.72038	1.76467	1.89753	1.95885	2.00655	2.05083	2.08149	2.17347	2.24502	2.17688
9	4.06608	4.18733	3.97948	3.74565	3.66337	3.49449	3.44686	3.33428	3.23035	3.13509	3.05281	3.09178	3.10477	3.10910	3.11343	3.07446	3.06147	3.09178	2.94889	3.00085	3.10044
10	3.52385	3.01761	3.07717	3.35510	3.21613	2.72974	2.51136	2.58085	2.55107	2.49151	2.25328	2.19372	2.07460	1.96542	2.18379	2.29298	2.28306	2.14409	2.23343	2.17387	2.18379
