State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.34064	2.29116	2.19087	2.08166	1.92966	1.75091	1.54453	1.34572	1.20843	1.14068	1.10056	1.08763	1.09833	1.13711	1.19194	1.28243	1.40189	1.51065	1.59534	1.66265	1.70455
2	0.66187	0.65240	0.63962	0.62597	0.60802	0.58337	0.54991	0.51057	0.48087	0.45808	0.43906	0.43025	0.43351	0.44447	0.45899	0.47438	0.48815	0.49866	0.50763	0.51500	0.52095
3	0.84506	0.84796	0.88847	0.90584	0.85664	0.87111	0.89137	0.89716	0.93478	1.01292	1.10842	1.12000	1.07948	1.04475	1.01292	0.95793	0.91163	0.87400	0.85664	0.83059	0.83638
4	0.77337	0.70288	0.64378	0.60854	0.57122	0.56292	0.55048	0.57744	0.59610	0.63238	0.66867	0.69666	0.71532	0.72154	0.70806	0.73294	0.77026	0.82935	0.90814	1.04602	1.22122
5	1.32108	1.26779	1.19603	1.09510	0.99535	0.87387	0.76609	0.64074	0.56095	0.50199	0.47103	0.46746	0.48979	0.54368	0.65265	0.82356	1.02662	1.24278	1.44554	1.62002	1.74596
6	3.19752	3.35558	3.45674	3.49309	3.36822	3.09952	2.84663	2.72335	2.70280	2.77709	2.84505	2.93514	3.15326	3.62112	4.63269	5.66797	6.40136	6.79493	6.83760	6.63055	6.30969
7	3.02241	3.06282	3.03857	3.01433	3.36183	3.32950	3.27293	3.01433	2.59410	2.04457	1.93143	2.29509	2.55369	2.76381	3.21636	3.97600	4.25885	4.50937	4.83262	5.31750	5.28518
8	4.77890	5.31756	6.06685	7.12691	8.50465	10.20005	12.05429	14.62675	16.83319	18.83591	19.88216	18.30761	17.45127	16.30489	14.68545	12.69309	10.87683	9.22977	7.86930	6.76781	6.04959
9	5.13906	5.80280	6.87593	8.40214	10.58416	13.79160	17.90126	23.36623	28.03629	30.23818	32.01479	35.15466	34.10539	30.13086	24.35191	18.78360	14.45534	11.23200	8.78370	7.11440	6.07705
10	3.93332	4.72600	6.08059	7.23951	8.49878	9.92360	11.10259	9.99885	7.56060	6.18594	5.21767	4.14905	4.95177	7.37497	9.43695	9.81323	8.87505	7.57063	6.49198	5.34309	4.56044
