state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9685537469168418	0.013247953122743813	2.048506579254953E-4	3.1277892374938123E-6	3.1870878757063567E-4	0.0010387245168291396	0.0	0.00111889757823802	1.7661843285036383E-7	0.015513814012180684
2	9.77171632602175E-4	0.9924099423495345	0.004005314525151721	0.0	2.1868517371675787E-4	0.0014028822863869613	0.0	5.539694214931187E-4	3.5432614978159016E-5	3.9660199613663255E-4
3	3.854434230043462E-4	0.10974972200267046	0.8863664491786447	7.190694948154231E-4	0.0015396688383648288	1.3222492662812675E-4	1.8535928423671447E-5	2.855801215238424E-5	0.0	0.0010603281952961637
4	1.4478011814666915E-6	0.0	4.8243692995828116E-4	0.9285170644759321	0.06634187042182196	7.761476900464412E-4	0.0038275152343250672	0.0	0.0	5.351744673489495E-5
5	1.7850736528577142E-4	0.0014669338128331215	3.507821412101747E-4	0.02376530238775886	0.9501352071177412	0.015915449587717703	8.628204661855626E-4	0.006463661565602471	9.00867132963092E-6	8.523268843353993E-4
6	0.002805333074854267	0.049160104754605125	1.3821526659826505E-4	0.001494027731405553	0.08820759212471967	0.7940721937849305	0.030474765827857433	0.007491755415195351	0.0039036097616803357	0.02225240225815331
7	0.0	0.0	9.280759133585133E-5	0.023510541265828275	0.01512224267994724	0.09256672531821375	0.7605595946172439	0.07600708485110404	0.032141003676326926	0.0
8	0.004200922322298171	0.027207950416022243	6.921728444269888E-5	0.0	0.04979793181762331	0.010545599785831382	0.03473862760712944	0.8452348904777184	0.026184141922882948	0.0020207183660515254
9	9.088170309712446E-6	0.002797008941953659	0.0	0.0	2.766736552658623E-4	0.009324953954404637	0.025172577378650283	0.046317910254288254	0.8390720924608603	0.07702969518426714
10	0.11122950160939893	0.03881405640317932	0.0036768008766508375	4.077795814404449E-4	0.013673843985608083	0.06270025360030329	0.0	0.003968068065452257	0.0865791504020454	0.6789505454759215
