State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.02688	1.02480	1.01854	1.01258	1.00989	1.00721	1.01615	1.01854	1.03225	1.04566	1.06742	1.07368	1.08382	1.08173	1.08710	1.08918	1.09991	1.10379	1.11333	1.13091	1.13479
2	0.47265	0.47320	0.47523	0.47706	0.47837	0.47954	0.48106	0.48441	0.48750	0.49302	0.49677	0.49799	0.50057	0.50351	0.50635	0.50792	0.50970	0.51385	0.51735	0.52130	0.52582
3	1.19712	1.20099	1.17005	1.19906	1.25708	1.24354	1.25901	1.25708	1.24161	1.21260	1.21646	1.28028	1.30929	1.34024	1.37698	1.40599	1.42533	1.40793	1.39826	1.40406	1.41760
4	6.34630	6.39157	6.47042	6.51715	6.50109	6.43100	6.33170	6.17691	5.90530	5.52125	5.12844	5.13136	4.99118	4.80134	4.66846	4.41876	4.19534	3.92373	3.73827	3.57764	3.49733
5	2.27473	2.26110	2.24341	2.23529	2.23355	2.23587	2.24254	2.26226	2.32287	2.40117	2.47947	2.43713	2.40581	2.40030	2.39334	2.40842	2.41625	2.44061	2.44496	2.44409	2.42553
6	3.03579	3.09323	3.18161	3.14626	3.20813	3.22138	3.20813	3.03579	2.87671	2.71321	2.43040	2.46575	2.60274	2.63809	2.79275	2.91206	2.94299	2.98718	3.07998	3.10207	3.12859
7	5.00508	5.42401	5.65552	5.98625	6.06342	6.36108	6.58157	6.71386	6.25084	5.56733	4.60820	5.31376	5.49016	5.78781	5.47913	5.62245	5.53425	5.34684	5.13737	4.94996	4.77357
8	2.29501	2.25114	2.18807	2.07017	1.99614	1.94678	1.98517	2.08936	2.10856	2.13323	2.37178	2.33066	2.46501	2.46775	2.51711	2.57743	2.65420	2.68985	2.76662	2.78033	2.77759
9	4.18500	4.09507	4.05310	3.91520	3.82526	3.73532	3.54346	3.45353	3.28565	3.16573	2.94389	3.08779	3.30363	3.56145	3.53147	3.50149	3.51348	3.59143	3.44753	3.44153	3.50149
10	2.83005	2.77423	2.73516	2.78540	2.73516	2.93611	2.81331	2.64027	2.51188	2.31093	2.03741	1.95369	1.79739	1.81414	1.82530	1.87554	1.96485	1.94810	2.00392	1.89787	1.95927
