State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.99356	2.03397	2.07764	2.13234	2.18050	2.23561	2.30214	2.34908	2.39888	2.42949	2.43766	2.43031	2.41929	2.38459	2.30990	2.21765	2.12458	2.04213	1.97886	1.94008	1.88498
2	0.80747	0.80101	0.79358	0.78603	0.77537	0.76211	0.74876	0.73626	0.72635	0.72090	0.71859	0.71599	0.71393	0.70764	0.69295	0.67696	0.66299	0.65380	0.64708	0.64100	0.63844
3	0.26976	0.25549	0.22694	0.20839	0.19269	0.17271	0.15415	0.15130	0.14987	0.13702	0.13988	0.14273	0.12989	0.12560	0.13131	0.13845	0.14273	0.15701	0.16414	0.18412	0.19412
4	0.71887	0.63954	0.60292	0.55899	0.52115	0.51749	0.51749	0.51749	0.53824	0.57973	0.61513	0.65174	0.66517	0.65907	0.66639	0.66029	0.69568	0.74572	0.83360	0.95687	1.13506
5	1.36369	1.35390	1.33019	1.30736	1.31477	1.33256	1.37762	1.43276	1.48583	1.52852	1.54690	1.53504	1.51132	1.46389	1.38266	1.34620	1.39452	1.47337	1.56824	1.65480	1.73752
6	2.63502	2.90120	3.17857	3.53871	3.67963	3.65726	3.19871	2.73120	2.31962	2.08922	1.96843	2.00199	2.19659	3.08239	4.89648	6.49136	7.20044	7.25189	6.90294	6.41083	5.84267
7	2.26421	2.28381	2.17599	2.05837	1.81333	1.58789	1.36245	1.22522	1.15661	1.13700	1.21542	1.27423	1.26443	1.33304	1.58789	2.30341	3.37181	4.32258	5.16553	5.53800	5.59681
8	2.72168	2.87133	3.07709	3.23609	3.54473	3.98431	4.71072	5.42777	5.88606	6.04506	6.04818	6.16976	6.34123	6.12924	5.68030	5.17213	4.54237	4.22125	3.92820	3.70685	3.54785
9	1.43770	1.35397	1.33484	1.26546	1.24154	1.20327	1.22719	1.25111	1.26546	1.25589	1.26068	1.24154	1.26068	1.37550	1.43770	1.47598	1.61711	1.81327	2.05010	2.33955	2.62183
10	1.59105	1.82291	2.05477	2.06276	2.27064	2.63842	2.64641	2.50250	2.15871	1.71097	1.59105	1.87887	1.91885	2.07875	2.70238	3.42994	4.09355	4.13352	3.99760	3.71777	3.27804
