State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.93184	0.92767	0.91750	0.90825	0.91056	0.90825	0.90224	0.89900	0.89946	0.89623	0.89623	0.89669	0.90501	0.90316	0.90455	0.89577	0.89715	0.89854	0.89900	0.90085	0.91056
2	0.62762	0.62700	0.62819	0.62862	0.62900	0.63047	0.63171	0.63456	0.63589	0.63974	0.64397	0.64706	0.65015	0.65524	0.65999	0.66570	0.67107	0.67678	0.68220	0.69071	0.70003
3	0.54496	0.54334	0.53849	0.52879	0.53041	0.51747	0.50777	0.51262	0.51747	0.51747	0.50938	0.51747	0.52555	0.54011	0.55951	0.56598	0.58377	0.58054	0.60479	0.59832	0.59024
4	5.51583	5.59050	5.62922	5.66102	5.67623	5.66793	5.57114	5.47435	5.28353	4.94060	4.59630	4.57832	4.38058	4.13584	3.82886	3.59379	3.38085	3.19694	3.01303	2.90933	2.78073
5	2.60029	2.58988	2.58417	2.57644	2.56570	2.55965	2.57376	2.58618	2.62918	2.70273	2.76789	2.72792	2.73699	2.75714	2.78166	2.79711	2.80215	2.80584	2.81021	2.78771	2.75445
6	1.52562	1.50788	1.46226	1.45720	1.51802	1.56110	1.58898	1.54843	1.46226	1.36596	1.26713	1.47747	1.52309	1.54336	1.64980	1.68781	1.72076	1.71062	1.64980	1.55350	1.54336
7	2.29872	2.29872	2.44309	2.49861	2.67629	2.67629	2.63187	2.66519	2.47640	2.16546	2.26541	2.39867	2.32093	2.12104	2.09883	1.99889	1.89894	1.81011	1.78790	1.67685	1.55469
8	1.37752	1.36340	1.31041	1.31041	1.23271	1.15500	1.16913	1.17619	1.24684	1.29629	1.32808	1.27509	1.29629	1.31748	1.30335	1.37399	1.35633	1.42344	1.44463	1.46583	1.44110
9	0.51765	0.52849	0.55560	0.56373	0.55831	0.56373	0.59354	0.58270	0.57457	0.57728	0.59625	0.55831	0.57457	0.59354	0.62606	0.58270	0.63419	0.61522	0.61251	0.63148	0.65859
10	0.79712	0.86053	0.85147	0.95111	0.86959	0.95111	0.94205	0.86959	0.97829	1.03263	0.89676	0.85147	0.89676	0.91488	0.78806	0.86959	0.81524	0.82430	0.92394	0.90582	0.83335
