State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.25549	5.38095	5.43870	5.46061	5.38692	5.15990	4.75364	3.96701	3.01309	2.20456	1.46771	1.15306	1.41793	2.14282	3.51295	5.02647	5.86886	6.42846	6.67740	6.71723	6.66943
2	0.46149	0.45492	0.44572	0.43378	0.41902	0.40060	0.37585	0.35174	0.33009	0.31098	0.30052	0.29936	0.30260	0.31292	0.33032	0.35452	0.38048	0.40241	0.42004	0.43239	0.44266
3	0.39300	0.35370	0.39300	0.45194	0.49124	0.57967	0.70739	1.01196	1.40496	1.98462	2.18112	2.08287	1.91585	1.64075	1.30671	1.04144	0.90389	0.79581	0.61897	0.59932	0.54037
4	0.90151	0.87122	0.85013	0.86473	0.87393	0.91340	0.94856	0.97614	1.01129	1.03184	1.05239	1.05888	1.07186	1.07132	1.04428	1.02643	0.99506	0.97343	0.94099	0.92530	0.90854
5	1.68026	1.61694	1.52152	1.40505	1.25719	1.08305	0.88883	0.74027	0.61050	0.53841	0.51537	0.51354	0.52456	0.55170	0.60372	0.69362	0.81914	0.96148	1.10354	1.21550	1.31289
6	4.66723	5.15377	5.96078	6.68621	7.23684	7.85156	8.46046	7.81660	6.81731	5.57330	4.29432	3.66503	4.17487	5.43637	7.25140	8.78675	9.71321	9.61998	8.93534	8.45754	7.73211
7	4.55056	4.77674	5.38528	6.05306	7.03318	8.21794	9.08497	9.58041	9.75274	9.76351	8.58414	6.45695	5.96689	5.68686	5.89688	6.44618	6.58620	6.56466	6.36540	6.10152	5.76764
8	4.12662	4.38933	4.72733	5.02384	5.34954	5.59229	5.54466	5.28809	4.58905	4.29254	3.26012	2.38748	2.52267	3.08805	3.89156	4.55372	4.83948	4.87021	4.88557	4.81490	4.81951
9	4.61536	5.40350	6.36818	8.06426	10.90788	15.66194	23.58119	34.94303	48.30360	56.17871	68.02605	80.47868	74.60860	59.28083	42.09935	27.43362	17.93179	12.28239	8.65064	6.65822	5.01888
10	4.77652	5.53853	6.62579	8.51224	11.73685	14.70127	18.79011	22.31210	26.09428	31.67928	33.09179	27.49750	31.87443	40.53535	42.31957	36.80892	29.16092	21.73594	16.20671	11.81119	9.19061
