State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.13799	4.26524	4.35614	4.45158	4.50157	4.47885	4.38568	4.12209	3.80395	3.70170	3.64034	3.48128	3.53809	3.65398	3.90166	4.13117	4.31978	4.47203	4.51748	4.48112	4.37886
2	0.64564	0.63336	0.61379	0.59054	0.55964	0.52109	0.47399	0.41794	0.36984	0.34637	0.33570	0.33155	0.33825	0.35156	0.36824	0.38842	0.40687	0.42373	0.43699	0.44953	0.46145
3	0.63071	0.60365	0.59764	0.59087	0.56155	0.54953	0.51494	0.49089	0.46608	0.45180	0.46232	0.46608	0.46383	0.46458	0.46082	0.46383	0.48112	0.47961	0.49314	0.51720	0.52772
4	0.71514	0.65041	0.58701	0.52583	0.49701	0.47085	0.44646	0.43848	0.43405	0.45356	0.48238	0.50366	0.52361	0.54267	0.55553	0.58346	0.61494	0.67923	0.79273	0.95810	1.12126
5	1.67657	1.60394	1.50567	1.36691	1.19477	0.99698	0.81093	0.63262	0.52692	0.47129	0.44812	0.43143	0.43328	0.47037	0.53434	0.63601	0.79950	1.00162	1.20033	1.37989	1.54183
6	3.14124	3.25847	3.39523	3.49726	3.44299	3.34530	3.02184	2.75157	2.35973	2.13721	1.98960	1.84958	1.93207	2.15567	2.69947	3.66442	4.72163	5.33381	5.60191	5.46515	5.20356
7	3.28024	3.38657	3.66593	3.85518	4.04983	3.99215	3.88942	3.71640	3.17750	2.54308	1.91227	1.76808	1.72483	1.85459	2.13756	2.69268	3.48029	4.09308	4.35622	4.45535	4.44093
8	3.95109	4.36004	4.58856	4.90429	5.14484	5.50567	5.44553	5.31323	4.99450	6.66033	7.33989	4.01725	3.48201	3.35873	3.37377	3.41887	3.46097	3.52110	3.61432	3.40383	3.25650
9	5.19420	6.10003	7.48362	9.37172	12.39116	16.79036	23.44459	31.52827	40.37255	42.82249	44.95139	51.31896	49.52641	43.82006	36.58870	29.33822	22.80630	17.59682	13.66773	10.98081	8.90543
10	4.91519	5.83514	7.26326	9.83913	13.57152	17.67189	21.77226	24.52336	25.31190	26.23185	25.99529	24.37442	27.58988	34.01204	38.41906	35.97461	28.53612	21.39552	15.78818	12.14340	9.55001
