state (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8580424499414924	0.03681236658063207	0.02487487301355682	0.038932339002872046	0.02639181444543013	0.001881212590971133	0.0021055304591788677	0.0	3.3870661284007733E-4	0.010620707353026695
2	0.012798202470342735	0.797970521207883	0.09739141183802334	0.001732499267473325	0.06155197302980329	0.01678675675717905	0.003976276229278242	2.4237036736636634E-7	4.030023831707455E-4	0.007389114446478753
3	0.02151739667885363	0.22954917973677025	0.6935977426996988	0.042067849795245305	0.007190704778628368	0.005598636311051855	0.0	0.0	4.784228601579596E-4	6.713959370021625E-8
4	0.01353464565405928	0.0026633543905565877	0.01744772369410732	0.8113095563351934	0.12940044640414977	0.002674915459559981	0.010008658868365444	4.3785800748154267E-8	9.796417880541823E-4	0.011981013620153263
5	0.0011580864941222548	0.007882355766866111	2.73568101103398E-4	0.016352310700675953	0.9672284179290968	3.493839820485524E-8	0.004126734491950647	1.7320788750558733E-7	0.002189764488544249	7.885538813549014E-4
6	0.003044960879566898	0.0912624172331599	0.012706523029463566	0.013766619879172342	1.2937024510748772E-6	0.6330781279797048	0.21847435480650343	0.02709607766374864	5.696248262294023E-4	0.0
7	2.4579329612368727E-4	0.0014350153967867063	0.0	0.003634340898676763	0.012544865418507056	0.014955192316006114	0.9160074457783292	0.05116245341130828	0.0	1.4893484262256513E-5
8	0.0	2.0140244242033035E-5	0.0	3.1259362613721405E-5	2.1346868368132746E-6	0.00648656228746986	0.17315439420180062	0.818409487783861	0.0018900471907714335	5.974242404372316E-6
9	1.1239940195400391E-4	4.4803692348814123E-4	1.3286748361990657E-4	6.969180654253908E-4	0.012403257968823824	0.0	0.0	0.0010572097072468988	0.8044880531214693	0.1806612573279726
10	1.5495386067681906E-4	2.9648985438020194E-4	0.0	4.476320458108044E-4	2.6109506777462183E-4	0.0	5.489035254124187E-7	5.359260749014197E-8	0.010275327130356417	0.9885638995448681
